Country,Name,Q1,Q2,Q3,Q4,Q5,Q6
BOL,BOL4,0,0,0,-1,0,0
BTN,BTN1,0,0,0,-1,0,0
BTN,BTN3,0,0,0,0,0,-1
BTN,BTN4,0,0,0,0,-1,0
BTN,BTN5,-1,0,0,0,0,0
BWA,BWA1,-1,0,0,0,0,0
BWA,BWA3,0,-1,0,0,0,0
BWA,BWA4,0,0,0,-1,0,0
CIV,CIV1,-1,0,0,0,0,0
CUB,CUB1,-1,0,0,0,0,0
DEN,DEN1,-1,0,0,0,0,0
GHA,GHA3,-1,0,0,0,0,0
GHA,GHA4,0,0,-1,0,0,0
GHA,GHA5,0,0,0,0,0,-1
GHA,GHA6,0,-1,0,0,0,0
KEN,KEN6,-1,0,0,0,0,0
LUX,LUX5,-1,0,0,0,0,0
MMR,MMR6,0,-1,0,0,0,0
NPL,NPL4,0,0,-1,0,0,0
OMN,OMN3,0,0,0,-1,0,0
OMN,OMN4,0,0,0,0,-1,0
OMN,OMN5,-1,0,0,0,0,0
OMN,OMN6,0,0,0,0,0,-1
UAE,UAE2,0,0,0,-1,0,0
UAE,UAE4,-1,0,0,0,0,0
UAE,UAE5,0,-1,0,0,0,0
UGA,UGA1,-1,0,0,0,0,0
VEN,VEN3,-1,0,0,0,0,0
ALB,ALB4,0,0,0,1,0,-1
ALB,ALB5,1,-1,0,0,0,0
ALB,ALB6,1,0,0,-1,0,0
BOL,BOL3,1,-1,0,0,0,0
BWA,BWA2,0,0,0,1,-1,0
BWA,BWA6,1,0,-1,0,0,0
CIV,CIV3,1,0,0,-1,0,0
CIV,CIV5,1,0,-1,0,0,0
DOM,DOM2,1,0,-1,0,0,0
DOM,DOM5,-1,0,0,0,1,0
DOM,DOM6,1,0,0,0,-1,0
ECU,ECU5,1,-1,0,0,0,0
GHA,GHA2,1,0,0,0,-1,0
HND,HND1,1,0,0,-1,0,0
IRQ,IRQ4,1,0,0,0,-1,0
IRQ,IRQ5,1,0,-1,0,0,0
KEN,KEN1,1,0,-1,0,0,0
KEN,KEN3,1,0,0,-1,0,0
KSV,KSV5,-1,0,0,0,1,0
LVA,LVA5,1,0,0,0,-1,0
MAC,MAC2,1,0,0,0,-1,0
NPL,NPL6,-1,0,0,0,1,0
OMN,OMN2,1,-1,0,0,0,0
PAK,PAK5,-1,0,0,1,0,0
PAR,PAR1,1,0,0,-1,0,0
RWA,RWA6,1,0,0,0,-1,0
